iter	Passed	Remaining
0	1	145
1	2	136
2	3	124
3	4	112
4	5	111
5	7	115
6	8	118
7	10	119
8	11	115
9	12	111
10	13	107
11	14	106
12	15	104
13	16	101
14	17	98
15	18	99
16	20	100
17	21	98
18	22	96
19	23	94
20	24	93
21	25	91
22	26	89
23	27	87
24	29	87
25	30	87
26	31	85
27	32	84
28	60	147
29	61	143
30	62	140
31	64	136
32	65	132
33	66	128
34	67	125
35	68	122
36	70	119
37	71	116
38	81	127
39	82	123
40	83	120
41	84	116
42	85	113
43	86	110
44	87	107
45	88	104
46	90	101
47	91	98
48	92	96
49	94	94
50	95	91
51	96	88
52	97	86
53	98	83
54	99	81
55	100	78
56	101	76
57	101	73
58	103	71
59	105	70
60	106	67
61	107	65
62	108	63
63	109	61
64	110	59
65	111	57
66	112	55
67	113	53
68	114	51
69	116	49
70	117	47
71	118	46
72	119	44
73	120	42
74	121	40
75	122	38
76	123	37
77	124	35
78	126	33
79	127	31
80	128	30
81	129	28
82	130	26
83	131	25
84	132	23
85	133	21
86	134	20
87	135	18
88	136	16
89	138	15
90	139	13
91	141	12
92	142	10
93	143	9
94	144	7
95	145	6
96	146	4
97	147	3
98	148	1
99	149	0
